 INFO  Accepting connections at http://localhost:8765
 HTTP  4/27/2026 9:41:20 PM ::1 GET /
 HTTP  4/27/2026 9:41:20 PM ::1 Returned 200 in 6 ms
 HTTP  4/27/2026 9:41:21 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:41:21 PM ::1 GET /data.js
 HTTP  4/27/2026 9:41:21 PM ::1 GET /app.js
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:21 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:41:21 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:41:21 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:21 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:21 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:21 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:21 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:41:21 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:22 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:41:22 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:22 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:41:22 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:22 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:41:22 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:22 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:41:22 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:22 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:41:22 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:23 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:41:23 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:23 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:41:23 PM ::1 Returned 200 in 2 ms
 HTTP  4/27/2026 9:41:45 PM ::1 GET /
 HTTP  4/27/2026 9:41:45 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:45 PM ::1 GET /src/store/local-store.js
 HTTP  4/27/2026 9:41:45 PM ::1 GET /data.js
 HTTP  4/27/2026 9:41:45 PM ::1 GET /app.js
 HTTP  4/27/2026 9:41:45 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:45 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:41:45 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:41:45 PM ::1 GET /tailwind-out.css
 HTTP  4/27/2026 9:41:45 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:45 PM ::1 GET /styles.css
 HTTP  4/27/2026 9:41:45 PM ::1 GET /sw-cleanup.js
 HTTP  4/27/2026 9:41:45 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:41:45 PM ::1 Returned 200 in 0 ms
 HTTP  4/27/2026 9:41:46 PM ::1 GET /src/modules/catalog/ingredients.js
 HTTP  4/27/2026 9:41:46 PM ::1 Returned 200 in 3 ms
 HTTP  4/27/2026 9:41:46 PM ::1 GET /src/modules/recipes/recipes.js
 HTTP  4/27/2026 9:41:46 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:46 PM ::1 GET /src/modules/log/day-log.js
 HTTP  4/27/2026 9:41:46 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:46 PM ::1 GET /src/modules/log/gap-engine.js
 HTTP  4/27/2026 9:41:46 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:46 PM ::1 GET /src/modules/carryover/carryover-engine.js
 HTTP  4/27/2026 9:41:46 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:46 PM ::1 GET /src/modules/history/day-history.js
 HTTP  4/27/2026 9:41:46 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:47 PM ::1 GET /src/modules/insights/insights-engine.js
 HTTP  4/27/2026 9:41:47 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:47 PM ::1 GET /src/modules/observability/tracer.js
 HTTP  4/27/2026 9:41:47 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:47 PM ::1 GET /src/store/supabase-config.js
 HTTP  4/27/2026 9:41:47 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:48 PM ::1 GET /src/modules/identity/auth.js
 HTTP  4/27/2026 9:41:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:41:48 PM ::1 GET /src/store/remote-store.js
 HTTP  4/27/2026 9:41:48 PM ::1 Returned 200 in 1 ms
 HTTP  4/27/2026 9:42:09 PM ::1 GET /
 HTTP  4/27/2026 9:42:09 PM ::1 Returned 200 in 0 ms
